SIDT,TNNU,STNU,HOUR,SPEC,ANGL,RADL,PERP,GPSZ,MVST,SBMV,FSAG,TWAW,HABT,GPRP
4,40,3,15,EGK,4,59,4,3,0,0,0,0,,15
4,41,1,15,EGK,33,58,32,2,0,0,0,0,,35
4,41,1,15,EGK,30,48,24,2,0,0,0,0,,35
4,42,1,16,RNW,19,44,14,1,0,1,1,0,,15
4,42,2,16,RNW,75,56,54,2,0,0,0,0,,55
4,42,2,16,RNW,75,56,54,2,0,0,0,0,,55
4,42,3,16,RNW,19,36,12,1,1,1,3,0,,15
4,42,4,16,RNW,77,95,93,1,0,0,0,0,,105
4,42,5,17,RNW,13,99,22,1,0,0,0,0,,25
4,42,6,17,EGK,86,112,112,1,0,0,0,0,,105
4,42,7,17,RNW,77,76,74,1,0,0,0,0,,75
4,42,8,17,RNW,61,66,58,2,0,0,0,0,,55
4,42,8,17,RNW,63,66,59,2,0,0,0,0,,55
4,42,9,17,RNW,5,75,7,1,0,1,1,8,,15
4,42,10,17,RNW,27,36,16,1,0,0,0,0,,15
4,42,11,17,EGK,77,99,96,2,0,0,0,0,,105
4,42,11,17,EGK,78,102,100,2,0,0,0,0,,105
4,42,12,17,EGK,47,88,64,3,0,0,0,0,,85
4,42,12,17,EGK,47,88,64,3,0,0,0,0,,85
4,42,12,17,EGK,73,93,89,3,0,0,0,0,,85
4,42,13,17,EGK,96,130,129,8,0,0,0,0,,115
4,42,13,17,EGK,96,125,124,8,0,0,0,0,,115
4,42,13,17,EGK,90,130,130,8,0,0,0,0,,115
4,42,13,17,EGK,90,133,133,8,0,0,0,0,,115
4,42,13,17,EGK,98,133,132,8,0,0,0,0,,115
4,42,13,17,EGK,88,135,135,8,0,0,0,0,,115
4,42,13,17,EGK,87,130,130,8,0,0,0,0,,115
4,42,13,17,EGK,88,130,130,8,0,0,0,0,,115
4,42,14,17,RNW,54,36,29,2,0,0,0,0,,35
4,42,14,17,RNW,80,33,32,2,0,0,0,0,,35
4,42,15,17,RNW,40,18,12,1,1,1,3,0,,15
4,43,1,6,RNW,19,98,32,1,0,1,9,9,,25
4,43,2,6,RNW,72,87,83,1,0,0,0,0,,95
4,43,3,6,RNW,95,94,94,2,0,0,0,0,,95
4,43,3,6,RNW,95,94,94,2,0,0,0,0,,95
